## Created using https://www.youtube.com/watch?v=Y40Wy1guAiQ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"## Summary of mouse longevity data. David Ashbrook 2022, dashbroo@UTHSC.edu. Edited by Wyatt Kaiser 2023 wkaiser1@uthsc.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## Data from replicable mouse populations,Title,Where mice maintained,First Author,Last Author,All authors,Year mice born,Year mice died,Year paper published,Paper type,Reason for looking,Main topic,Strain,Maternal strain,Paternal strain,Cross type,Sex,Age started,Age started (estimated approx. days),Intervention,Method,Diet,Day-night cycle,Lights on/lights off,Temperature,Humidity,Number of mice per cage (newly added) ,Pathogen free?,Individual data available,Individual data imputable from figures,Where data available?,mean,median,SE,SD,N,CV,IMR,MRDT,Minimum lifespan,Maximum lifespan,notes,url,DOI
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD15,BXD15,BXD15,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,798,783,41.1,183.8047878,20,0.230331814,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD16,BXD16,BXD16,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,642,677,43.8,195.8795548,20,0.305108341,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD18,BXD18,BXD18,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,742,759,46.7,147.6783667,10,0.199027448,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD19,BXD19,BXD19,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,904,939,34.6,154.735904,20,0.171168035,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD22,BXD22,BXD22,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,743,734,70,221.3594362,10,0.297926563,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD23,BXD23,BXD23,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,763,759,29.7,136.1024981,21,0.17837811,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD24,BXD24,BXD24,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,835,854,36,160.9968944,20,0.192810652,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD27,BXD27,BXD27,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,711,746,36.1,157.3562519,19,0.22131681,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD28,BXD28,BXD28,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,765,775,23.9,106.8840493,20,0.139717712,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD29,BXD29,BXD29,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,703,746,25.5,116.8556802,21,0.166224296,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD30,BXD30,BXD30,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,737,733,37.9,169.4939527,20,0.229978226,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD31,BXD31,BXD31,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,577,501,45.3,143.251178,10,0.248268939,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD32,BXD32,BXD32,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,440,451,54.6,244.1786231,20,0.554951416,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,C57BL/6J,C57BL/6J,C57BL/6J,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,736,704,,,12,,,,,,Gives breakdown of what is in the chow,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,C57BL/6J,C57BL/6J,C57BL/6J,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,757,781,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,DBA/2J,DBA/2J,DBA/2J,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,589,645,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,DBA/2J,DBA/2J,DBA/2J,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,674,673,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD2,BXD2,BXD2,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,481,463,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD2,BXD2,BXD2,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,748,769,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD6,BXD6,BXD6,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,671,717,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD6,BXD6,BXD6,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,710,704,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD8,BXD8,BXD8,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,612,618,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD8,BXD8,BXD8,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,691,722,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD11,BXD11,BXD11,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,789,797,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD11,BXD11,BXD11,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,725,845,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD12,BXD12,BXD12,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,661,671,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD12,BXD12,BXD12,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,808,792,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD14,BXD14,BXD14,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,422,428,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD14,BXD14,BXD14,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,548,570,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD16,BXD16,BXD16,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,675,681,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD16,BXD16,BXD16,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,622,677,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD19,BXD19,BXD19,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,850,893,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD19,BXD19,BXD19,Inbred,male,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12563&dataset=BXDPublish,959,951,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
,Quantitative Trait Loci (QTL) analysis of longevity in C57BL/6J by DBA/2J (BXD) recombinant inbred mice,Pennsylvania State University,Lang,McClearn,"Dean H Lang, Glenn S Gerhard, James W Griffith, George P Vogler, David J Vandenbergh, David A Blizard, Joseph T Stout, Joan M Lakoski, Gerald E McClearn",,,2008,Primary,Genetic interventions,Genetic interventions,BXD22,BXD22,BXD22,Inbred,female,Birth,28,Control,,Purina chow,12-hour light/dark,7:30 AM/7:30 PM,,,,,No,No,http://www.genenetwork.org/show_trait?trait_id=12564&dataset=BXDPublish,662,697,,,12,,,,,,,https://link.springer.com/article/10.1007/BF03324809,https://doi.org/10.1007/BF03324809
